MasterSKU,OPTION SKU,CoreSKU,UPC,GTIN,GMCID,Amazon ASIN,Finish,Finish Code,Position,Category,Collection,Title,List,Wholesale,Map,Narraive Copy,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Bullet 6,Length,Height,Width,Projection,Weight,Length,Height,Width,Weight,Installation,Specification,Main,Main URL,sn,Alternative 2,Alternative 3,Alternative 4,Center to center,Diameter,Screw size,Mirror Height,Mirror width,Thickness,Weight capacity,Material,Style,Shape,Orientation,Tilting,Mounting type,Assembly required,Item number,Included
101,101-ABR,101ABR,13895749831,13895749831,shopify_US_4542872518788_32118222192772,B003XRNIYC,Antique Brass,ABR,1,Cabinet Hardware,Cabinet Hardware,1-1/2 Inch Cabinet Knob,$31.90,$14.36,$22.33,"The Allied Brass collection of decorative cabinet knobs will compliment your style, from modern and sleek to traditional and elegant. This wide variety of solid brass knobs will enhance any kitchen or bathroom furnishings. Small changes go a long way to spruce up any room. Coordinate these knobs with other Allied products to compliment your home.",Contemporary 1-1/2 x 1-1/2 inch knob,Crafted from the finest solid brass materials,An elegant addition to your kitchen or bathroom décor,Available in a wide variety of lifetime designer finishes,"Easy installation, mounting hardware included",Limited Lifetime Warranty,1.5,1.5,1.5,1.5,0.8,3,2,2,1,https://assets.alliedbrass.com/documents/101-Installation.PDF,https://assets.alliedbrass.com/documents/101-Specification.pdf,101-ABR.jpg,https://storage.alliedbrass.com/images/products/main/hq/3000px/101-ABR.jpg,https://assets.alliedbrass.com/images/products/dimensions/101_ASZ1.jpg,,,,,,,,,,,Brass,Traditional,,,,Cabinet mount,FALSE,1,Cabinet knob and all installation hardware.
101,101-ABZ,101ABZ,13895749916,13895749916,shopify_US_4542872518788_32118222225540,B006FQ2J70,Antique Bronze,ABZ,2,Cabinet Hardware,Cabinet Hardware,1-1/2 Inch Cabinet Knob,$31.90,$14.36,$22.33,"The Allied Brass collection of decorative cabinet knobs will compliment your style, from modern and sleek to traditional and elegant. This wide variety of solid brass knobs will enhance any kitchen or bathroom furnishings. Small changes go a long way to spruce up any room. Coordinate these knobs with other Allied products to compliment your home.",Contemporary 1-1/2 x 1-1/2 inch knob,Crafted from the finest solid brass materials,An elegant addition to your kitchen or bathroom décor,Available in a wide variety of lifetime designer finishes,"Easy installation, mounting hardware included",Limited Lifetime Warranty,1.5,1.5,1.5,1.5,0.8,3,2,2,1,https://assets.alliedbrass.com/documents/101-Installation.PDF,https://assets.alliedbrass.com/documents/101-Specification.pdf,101-ABZ.jpg,https://storage.alliedbrass.com/images/products/main/hq/3000px/101-ABZ.jpg,https://assets.alliedbrass.com/images/products/dimensions/101_ASZ1.jpg,,,,,,,,,,,Brass,Traditional,,,,Cabinet mount,FALSE,1,Cabinet knob and all installation hardware.
